component,percentage,edge_count,max_possible,component_nodes
1,33.33333333333333,2,6,"{1257, 1251, 1241}"
2,50.0,3,6,"{1256, 1242, 535}"
6,33.33333333333333,2,6,"{1249, 1214, 1159}"
13,50.0,1,2,"{1240, 946}"
16,25.0,5,20,"{422, 270, 79, 469, 1237}"
18,33.33333333333333,2,6,"{529, 1235, 1233}"
21,50.0,1,2,"{1216, 1231}"
22,3.968253968253968,30,756,"{1025, 1026, 259, 260, 1039, 1043, 673, 550, 939, 941, 1076, 1077, 1082, 700, 1085, 575, 1221, 330, 1230, 1105, 219, 222, 223, 744, 745, 1137, 1138, 253}"
27,16.666666666666664,5,30,"{1158, 1160, 1225, 1164, 1166, 1199}"
28,50.0,1,2,"{1224, 1177}"
29,33.33333333333333,2,6,"{1220, 1222, 1223}"
39,50.0,1,2,"{1208, 1207}"
46,2.497687326549491,54,2162,"{518, 908, 909, 910, 785, 786, 405, 918, 283, 541, 544, 418, 292, 425, 555, 558, 942, 1200, 176, 567, 695, 956, 317, 574, 580, 847, 848, 338, 466, 858, 988, 604, 351, 608, 865, 868, 489, 746, 873, 874, 877, 498, 756, 886, 632, 1018, 766}"
57,50.0,1,2,"{1184, 1072}"
64,33.33333333333333,2,6,"{1176, 1162, 1168}"
68,50.0,1,2,"{1153, 1172}"
69,50.0,1,2,"{1170, 1171}"
71,50.0,1,2,"{950, 1167}"
77,16.666666666666664,15,90,"{1154, 453, 645, 714, 1134, 660, 949, 952, 920, 571}"
79,25.0,5,20,"{1088, 1063, 1139, 1142, 1151}"
112,2.7439024390243905,45,1640,"{384, 906, 528, 657, 284, 413, 543, 1057, 289, 294, 295, 171, 300, 557, 302, 301, 304, 1075, 307, 309, 1078, 311, 568, 566, 308, 182, 186, 200, 209, 467, 342, 1112, 1113, 352, 356, 361, 490, 363, 497, 377, 250}"
116,50.0,1,2,"{634, 1108}"
122,13.88888888888889,10,72,"{419, 903, 1101, 881, 951, 696, 1050, 343, 415}"
132,25.0,3,12,"{576, 1091, 901, 957}"
139,50.0,1,2,"{1081, 839}"
152,20.0,4,20,"{1056, 1060, 870, 1062, 958}"
153,50.0,1,2,"{691, 1061}"
156,50.0,1,2,"{1054, 1055}"
160,25.0,3,12,"{1049, 819, 985, 1007}"
167,50.0,1,2,"{1041, 1015}"
168,20.0,4,20,"{551, 552, 1040, 436, 380}"
178,25.0,3,12,"{1024, 1021, 1028, 1029}"
190,50.0,3,6,"{944, 1010, 981}"
193,50.0,1,2,"{1005, 1006}"
198,8.333333333333332,11,132,"{1000, 713, 840, 684, 461, 975, 976, 561, 80, 87, 344, 281}"
210,50.0,1,2,"{987, 884}"
215,50.0,1,2,"{980, 702}"
216,50.0,1,2,"{977, 979}"
225,12.5,7,56,"{898, 967, 872, 458, 494, 501, 502, 507}"
231,50.0,1,2,"{961, 132}"
241,33.33333333333333,2,6,"{752, 940, 447}"
251,33.33333333333333,2,6,"{929, 716, 719}"
255,50.0,1,2,"{857, 925}"
258,50.0,1,2,"{922, 919}"
260,50.0,1,2,"{747, 917}"
261,50.0,1,2,"{915, 916}"
265,33.33333333333333,2,6,"{866, 738, 911}"
272,50.0,1,2,"{896, 897}"
274,50.0,1,2,"{893, 894}"
278,50.0,1,2,"{889, 882}"
279,50.0,1,2,"{888, 887}"
283,50.0,1,2,"{871, 879}"
284,50.0,1,2,"{339, 878}"
286,50.0,1,2,"{315, 875}"
295,50.0,1,2,"{856, 630}"
296,17.857142857142858,10,56,"{1, 2, 837, 805, 844, 780, 693, 855}"
297,50.0,1,2,"{852, 854}"
307,50.0,1,2,"{587, 838}"
317,50.0,1,2,"{827, 821}"
328,16.666666666666664,5,30,"{522, 588, 814, 432, 81, 86}"
331,50.0,1,2,"{768, 811}"
337,50.0,1,2,"{804, 661}"
348,20.0,4,20,"{13, 789, 24, 793, 350}"
360,50.0,1,2,"{777, 662}"
368,50.0,1,2,"{769, 347}"
373,33.33333333333333,4,12,"{40, 762, 125, 741}"
378,33.33333333333333,2,6,"{754, 755, 757}"
384,50.0,1,2,"{699, 743}"
389,20.0,6,30,"{736, 424, 399, 667, 670, 671}"
391,33.33333333333333,4,12,"{689, 683, 710, 734}"
393,50.0,1,2,"{732, 207}"
400,50.0,1,2,"{725, 686}"
408,25.0,3,12,"{448, 715, 452, 400}"
411,50.0,1,2,"{706, 709}"
421,50.0,1,2,"{690, 692}"
433,25.0,3,12,"{585, 674, 621, 625}"
440,50.0,1,2,"{659, 663}"
443,50.0,1,2,"{649, 655}"
467,25.0,3,12,"{393, 626, 603, 382}"
470,33.33333333333333,4,12,"{503, 381, 622, 534}"
471,50.0,1,2,"{450, 620}"
472,50.0,1,2,"{569, 619}"
474,33.33333333333333,4,12,"{593, 617, 595, 614}"
487,33.33333333333333,2,6,"{600, 596, 599}"
489,50.0,1,2,"{90, 597}"
498,50.0,1,2,"{581, 582}"
499,50.0,1,2,"{579, 527}"
504,20.0,4,20,"{564, 565, 152, 570, 155}"
509,50.0,1,2,"{554, 556}"
510,20.0,4,20,"{323, 324, 327, 553, 473}"
511,16.666666666666664,7,42,"{545, 549, 431, 411, 537, 539, 540}"
518,50.0,1,2,"{49, 533}"
520,20.0,6,30,"{360, 336, 531, 244, 245, 249}"
528,50.0,1,2,"{460, 519}"
534,25.0,3,12,"{512, 396, 392, 389}"
542,33.33333333333333,2,6,"{428, 500, 430}"
549,33.33333333333333,2,6,"{488, 442, 444}"
555,50.0,1,2,"{464, 482}"
556,14.285714285714285,8,56,"{481, 385, 454, 455, 401, 433, 403, 404}"
559,50.0,1,2,"{372, 478}"
569,50.0,1,2,"{456, 463}"
578,50.0,1,2,"{440, 441}"
583,50.0,1,2,"{434, 340}"
584,50.0,1,2,"{416, 429}"
594,50.0,1,2,"{408, 409}"
599,25.0,3,12,"{269, 261, 397, 263}"
600,50.0,1,2,"{394, 395}"
612,50.0,1,2,"{368, 373}"
618,50.0,1,2,"{365, 318}"
620,50.0,1,2,"{362, 346}"
621,50.0,1,2,"{358, 359}"
622,25.0,3,12,"{345, 355, 357, 279}"
633,50.0,1,2,"{329, 331}"
640,50.0,1,2,"{288, 319}"
642,20.0,4,20,"{306, 310, 184, 185, 314}"
646,50.0,1,2,"{297, 303}"
647,50.0,1,2,"{298, 299}"
659,50.0,1,2,"{275, 276}"
669,50.0,1,2,"{41, 262}"
670,50.0,1,2,"{258, 255}"
671,50.0,1,2,"{256, 257}"
681,50.0,1,2,"{240, 98}"
682,50.0,1,2,"{220, 239}"
687,33.33333333333333,2,6,"{232, 233, 234}"
692,33.33333333333333,2,6,"{192, 226, 227}"
700,16.666666666666664,7,42,"{197, 105, 210, 211, 212, 214, 189}"
703,50.0,1,2,"{201, 206}"
724,50.0,1,2,"{174, 175}"
747,50.0,1,2,"{145, 148}"
748,50.0,1,2,"{144, 147}"
749,25.0,3,12,"{124, 146, 107, 108}"
